Date,Price,Open,High,Low,Vol,Change %
2022-12-21,3.1088,3.0334,3.1526,3.0211,39.15K,2.63%
2022-12-20,3.0291,3.0648,3.0648,2.9682,35.43K,0.37%
2022-12-19,3.0179,3.075,3.1267,3.0152,37.40K,-1.84%
2022-12-16,3.0746,3.214,3.2242,3.0683,43.88K,-4.36%
2022-12-15,3.2146,3.2182,3.258,3.1786,45.57K,-0.47%
2022-12-14,3.2298,3.055,3.2367,3.0458,47.73K,5.57%
2022-12-13,3.0594,2.9338,3.0816,2.922,38.28K,4.07%
2022-12-12,2.9397,2.8008,2.9683,2.7652,45.82K,5.82%
2022-12-09,2.778,2.8388,2.8613,2.7517,38.36K,-2.36%
2022-12-08,2.845,2.7667,2.8667,2.765,48.44K,2.84%
2022-12-07,2.7665,2.8941,2.9111,2.7555,49.41K,-4.17%
2022-12-06,2.8869,2.9702,2.9985,2.8544,36.42K,-2.80%
2022-12-05,2.9702,3.1414,3.1995,2.9625,45.65K,-5.09%
2022-12-02,3.1294,3.2122,3.2595,3.11,33.28K,-4.08%
2022-12-01,3.2624,3.3539,3.4103,3.2476,52.14K,-2.99%
2022-11-30,3.3629,3.315,3.401,3.3037,1.78K,2.03%
2022-11-29,3.2959,3.2003,3.3293,3.1732,19.78K,2.50%
2022-11-28,3.2154,3.2581,3.272,3.1757,20.63K,-0.73%
2022-11-25,3.2391,3.351,3.4384,3.2334,12.03K,-4.10%
2022-11-24,3.3777,3.3483,3.3964,3.3334,,0.55%
2022-11-23,3.3593,3.4823,3.5097,3.346,25.01K,-3.23%
2022-11-22,3.4713,3.4955,3.5335,3.4561,21.90K,-0.74%
2022-11-21,3.4973,3.5176,3.5181,3.3681,20.48K,-0.59%
2022-11-18,3.5181,3.5199,3.55,3.4101,24.94K,-0.19%
2022-11-17,3.5248,3.6259,3.6292,3.4768,28.75K,-2.46%
2022-11-16,3.6136,3.6267,3.6721,3.5745,26.15K,-0.76%
2022-11-15,3.6413,3.564,3.7173,3.5374,36.80K,2.75%
2022-11-14,3.544,3.5846,3.7037,3.5231,40.16K,-0.32%
2022-11-11,3.5553,3.5729,3.6948,3.5078,49.24K,-0.40%
2022-11-10,3.5694,3.6505,3.69,3.5598,49.19K,-2.38%
2022-11-09,3.6563,3.7797,3.7886,3.6371,45.82K,-3.03%
2022-11-08,3.7707,3.7769,3.9019,3.7395,47.76K,-0.28%
2022-11-07,3.7811,3.9001,3.9001,3.7702,46.02K,-3.42%
2022-11-04,3.9148,3.8633,3.9565,3.8223,47.58K,1.28%
2022-11-03,3.8653,3.6898,3.8944,3.6264,54.43K,5.11%
2022-11-02,3.6774,3.6359,3.6945,3.5526,43.19K,1.55%
2022-11-01,3.6211,3.6817,3.7728,3.6128,50.02K,-13.60%
2022-10-31,4.1909,4.54,4.62,4.0861,1.52K,-7.89%
2022-10-28,4.5498,4.36,4.6841,4.33,12.40K,4.98%
2022-10-27,4.3339,4.1746,4.3561,4.0875,17.17K,5.19%
2022-10-26,4.1201,3.9532,4.2777,3.9315,25.01K,15.01%
2022-10-25,3.5823,3.6056,3.6161,3.5195,42.57K,0.42%
2022-10-24,3.5672,3.544,3.6452,3.5222,44.55K,0.39%
2022-10-21,3.5532,3.4995,3.582,3.4435,49.31K,1.99%
2022-10-20,3.4838,3.5307,3.6305,3.4576,50.81K,-2.16%
2022-10-19,3.5606,3.6346,3.6524,3.5082,49.72K,-1.89%
2022-10-18,3.6291,3.7264,3.7358,3.6005,46.32K,-1.58%
2022-10-17,3.6873,3.6134,3.7074,3.6031,41.23K,2.35%
2022-10-14,3.6026,3.6854,3.7119,3.5735,41.37K,-12.02%
2022-10-13,4.0948,3.9332,4.1149,3.8624,51.42K,4.12%
2022-10-12,3.9328,3.9032,4.0707,3.8601,63.63K,0.05%
2022-10-11,3.9308,3.8742,3.9433,3.6941,56.58K,0.41%
2022-10-10,3.9147,4.0598,4.0859,3.8595,53.63K,-2.59%
2022-10-07,4.0187,3.8787,4.0506,3.8399,48.89K,3.98%
2022-10-06,3.8649,3.6951,3.8883,3.6044,63.54K,4.83%
2022-10-05,3.6869,3.5306,3.7174,3.486,66.37K,4.27%
2022-10-04,3.5358,3.3691,3.5455,3.3547,57.72K,4.95%
2022-10-03,3.3691,3.265,3.3795,3.2649,55.22K,0.00%
2022-09-30,3.369,3.4047,3.4047,3.3299,2.20K,-1.34%
2022-09-29,3.4146,3.4514,3.4954,3.3831,12.48K,-1.01%
